name,price,measurement,remark,item-type,item-id,item-type-number
Fresh Pork Loin Back Ribs,$3.99,1,"Fresh Pork Loin Back Ribs, , $3.99 /lb",flyer-item,807486661,1
Bacon,$5.99,1,"Bacon, , $5.99",flyer-item,807486662,1
ASIAN INSPIRATIONS,$5,1,"ASIAN INSPIRATIONS, WONG WING Frozen Entrées, Egg Rolls, Spring Rolls or Dumplings, , $5 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486663,1
Almond Beverages,$2.88,1,"Almond Beverages, HOT PRICE, $2.88",flyer-item,807486664,1
COMPLIMENTS Frozen Fruit,$3.99,1,"COMPLIMENTS Frozen Fruit, , $3.99",flyer-item,807486665,1
Snacking Crackers,$6.99,3,"Snacking Crackers, HOT PRICE, 3/ $6.99",flyer-item,807486666,1
Large Avocados or Large Red Mangoes,$4.98,3,"Large Avocados or Large Red Mangoes, , 3/ $4.98",flyer-item,807486667,1
Live Market Lobsters,$16.99,1,"Live Market Lobsters, , $16.99 /lb",flyer-item,807486668,1
Fresh Boneless Striploin Grilling Steak or Premium Oven Roast,$8.88,1,"Fresh Boneless Striploin Grilling Steak or Premium Oven Roast, , $8.88",flyer-item,807486669,1
English Seedless Cucumbers,$1.99,1,"English Seedless Cucumbers, , $1.99",flyer-item,807486670,1
Dips,$2,1,"Dips, , $2",flyer-item,807486671,1
COCA-COLA or PEPSI Soft Drinks,$6,2,"COCA-COLA or PEPSI Soft Drinks, , 2/ $6",flyer-item,807486672,1
FRESH CHOICE Oysters,$1.25,1,"FRESH CHOICE Oysters, , $1.25",flyer-item,807486673,1
Fair Trade Honduras White Shrimp or Wild Argentinian Pink Shrimp,$8.99,1,"Fair Trade Honduras White Shrimp or Wild Argentinian Pink Shrimp, , $8.99",flyer-item,807486674,1
Coho Salmon Fillets,$11.99,1,"Coho Salmon Fillets, , $11.99 /lb",flyer-item,807486675,1
Atlantic Canada Cooked Snow Crab Clusters or Lobster Claws,$16.99,1,"Atlantic Canada Cooked Snow Crab Clusters or Lobster Claws, , $16.99",flyer-item,807486676,1
COMPLIMENTS NATURALLY SIMPLE Sea Scallops or Black Tiger Shrimp Colossal Raw or Jumbo Cooked in ring with sauce,$19.99,1,"COMPLIMENTS NATURALLY SIMPLE Sea Scallops or Black Tiger Shrimp Colossal Raw or Jumbo Cooked in ring with sauce, , $19.99",flyer-item,807486677,1
Source Yogurt,$3.49,1,"Source Yogurt, Get 300 Scene+ when you buy 6 or more OR Get 300 Scene+ when you buy 3 or more, $3.49",flyer-item,807486678,1
Premium Cereal,$3.97,1,"Premium Cereal, 1000 Scene+ PTS when you buy 6, $3.97",flyer-item,807486679,1
NATURE VALLEY Midsize,$6.99,1,"NATURE VALLEY Midsize, 300 Scene+ PTS when you buy 2, $6.99",flyer-item,807486680,1
