name,price,measurement,remark,item-type,item-id,item-type-number
Deli Express Chicken Wings,$5.97,1,"Deli Express Chicken Wings, Save 3.50, $5.97",flyer-item,808998896,1
Deli Express Chicken Wings,$5.97,1,"Deli Express Chicken Wings, Save 3.50, $5.97",flyer-item,808998901,1
Old Dutch Snacks,$2.77,1,"Old Dutch Snacks, Rollback, $2.77",flyer-item,808998907,1
Old Dutch Snacks,$2.77,1,"Old Dutch Snacks, Rollback, $2.77",flyer-item,808998913,1
Tim Hortons Instant Coffee,$3,1,"Tim Hortons Instant Coffee, Save $3, $4.97",flyer-item,808998919,1
Tim Hortons Instant Coffee,$3,1,"Tim Hortons Instant Coffee, Save $3, $4.97",flyer-item,808998927,1
Nestle Real Dairy,$4.87,1,"Nestle Real Dairy, Rollback, $4.87",flyer-item,808998932,1
Nestle Real Dairy or Confectionery Tubs,$4.87,1,"Nestle Real Dairy or Confectionery Tubs, Rollback, $4.87",flyer-item,808998938,1
Cracker Barrel Shreds 320 g,$3.01,1,"Cracker Barrel Shreds 320 g, Save $3.01, $4.97",flyer-item,808998944,1
Cracker Barrel Cheese Block 400 g,$3.01,1,"Cracker Barrel Cheese Block 400 g, Save $3.01, $4.97",flyer-item,808998948,1
Simply Orange Juice,$1.10,1,"Simply Orange Juice, Save $1.10, $5.88",flyer-item,808998952,1
Simply Lemonade,$1.10,1,"Simply Lemonade, Save $1.10, $5.88",flyer-item,808998956,1
Kraft Dinner,$5,1,"Kraft Dinner, Save $5, $9.97",flyer-item,808998960,1
Royale Velour or Original Bathroom Tissue,$7.50,1,"Royale Velour or Original Bathroom Tissue, Save $7.50, $12.47",flyer-item,808998963,1
Royale Original Bathroom Tissue,$7.50,1,"Royale Original Bathroom Tissue, Save $7.50, $12.47",flyer-item,808998967,1
Bulk Cluster Tomatoes,$2,1,"Bulk Cluster Tomatoes, Save $2/lb., $1.47 lb.",flyer-item,808998971,1
Deli Express Chicken Wings,$5.97,1,"Deli Express Chicken Wings, Save 3.50, $5.97",flyer-item,808998896,1
Deli Express Chicken Wings,$5.97,1,"Deli Express Chicken Wings, Save 3.50, $5.97",flyer-item,808998896,1
Deli Express Chicken Wings,$5.97,1,"Deli Express Chicken Wings, Save 3.50, $5.97",flyer-item,808998901,1
Deli Express Chicken Wings,$5.97,1,"Deli Express Chicken Wings, Save 3.50, $5.97",flyer-item,808998901,1
Old Dutch Snacks,$2.77,1,"Old Dutch Snacks, Rollback, $2.77",flyer-item,808998907,1
Old Dutch Snacks,$2.77,1,"Old Dutch Snacks, Rollback, $2.77",flyer-item,808998907,1
Old Dutch Snacks,$2.77,1,"Old Dutch Snacks, Rollback, $2.77",flyer-item,808998913,1
Old Dutch Snacks,$2.77,1,"Old Dutch Snacks, Rollback, $2.77",flyer-item,808998913,1
Tim Hortons Instant Coffee,$3,1,"Tim Hortons Instant Coffee, Save $3, $4.97",flyer-item,808998919,1
Tim Hortons Instant Coffee,$3,1,"Tim Hortons Instant Coffee, Save $3, $4.97",flyer-item,808998919,1
Tim Hortons Instant Coffee,$3,1,"Tim Hortons Instant Coffee, Save $3, $4.97",flyer-item,808998927,1
Tim Hortons Instant Coffee,$3,1,"Tim Hortons Instant Coffee, Save $3, $4.97",flyer-item,808998927,1
