aria-label,item-type,item-id,img-link,src-rect,item-type-number
"Sobeys, , ",flyer-item,807486660,https://sf.flipp.com/items/1234.sfml,511.767 79.2633 736.7529999999999 188.85269999999997,5
"Fresh Pork Loin Back Ribs, , $3.99 /lb",flyer-item,807486661,https://sf.flipp.com/items/1234.sfml,47.796 373.034 466.30199999999996 342.73199999999997,1
"Bacon, , $5.99",flyer-item,807486662,https://sf.flipp.com/items/1234.sfml,50.1275 715.766 463.97049999999996 298.4340000000001,1
"ASIAN INSPIRATIONS, WONG WING Frozen Entrées, Egg Rolls, Spring Rolls or Dumplings, , $5 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486663,https://sf.flipp.com/items/1234.sfml,50.1275 1014.2 433.6615 326.40999999999985,1
"Almond Beverages, HOT PRICE, $2.88",flyer-item,807486664,https://sf.flipp.com/items/1234.sfml,40.8015 1534.13 442.9875 310.0899999999999,1
"COMPLIMENTS Frozen Fruit, , $3.99",flyer-item,807486665,https://sf.flipp.com/items/1234.sfml,483.789 1541.12 356.721 303.10000000000014,1
"Snacking Crackers, HOT PRICE, 3/ $6.99",flyer-item,807486666,https://sf.flipp.com/items/1234.sfml,50.1275 1851.21 643.4975 324.0799999999999,1
"Large Avocados or Large Red Mangoes, , 3/ $4.98",flyer-item,807486667,https://sf.flipp.com/items/1234.sfml,535.082 1158.75 694.7879999999999 366.04999999999995,1
"Live Market Lobsters, , $16.99 /lb",flyer-item,807486668,https://sf.flipp.com/items/1234.sfml,526.877 307.11 723.683 277.385,1
"Fresh Boneless Striploin Grilling Steak or Premium Oven Roast, , $8.88",flyer-item,807486669,https://sf.flipp.com/items/1234.sfml,536.174 584.495 714.386 404.45500000000004,1
"English Seedless Cucumbers, , $1.99",flyer-item,807486670,https://sf.flipp.com/items/1234.sfml,52.6877 1346.9 433.8983 178.19999999999982,1
"Dips, , $2",flyer-item,807486671,https://sf.flipp.com/items/1234.sfml,844.552 1531.61 376.5579999999999 299.08000000000015,1
"COCA-COLA or PEPSI Soft Drinks, , 2/ $6",flyer-item,807486672,https://sf.flipp.com/items/1234.sfml,698.886 1855.49 520.674 305.2700000000002,1
"FRESH CHOICE Oysters, , $1.25",flyer-item,807486673,https://sf.flipp.com/items/1234.sfml,1328.0606 427 414.0604000000001 284.66700000000003,1
"Fair Trade Honduras White Shrimp or Wild Argentinian Pink Shrimp, , $8.99",flyer-item,807486674,https://sf.flipp.com/items/1234.sfml,1328.0606 711.667 414.0604000000001 484.303,1
"Coho Salmon Fillets, , $11.99 /lb",flyer-item,807486675,https://sf.flipp.com/items/1234.sfml,1328.0606 1195.97 410.36339999999996 458.4200000000001,1
"Atlantic Canada Cooked Snow Crab Clusters or Lobster Claws, , $16.99",flyer-item,807486676,https://sf.flipp.com/items/1234.sfml,1331.7576 1654.39 406.66640000000007 428.8499999999997,1
"COMPLIMENTS NATURALLY SIMPLE Sea Scallops or Black Tiger Shrimp Colossal Raw or Jumbo Cooked in ring with sauce, , $19.99",flyer-item,807486677,https://sf.flipp.com/items/1234.sfml,1331.7576 2083.24 414.0604000000001 399.2800000000002,1
"Source Yogurt, Get 300 Scene+ when you buy 6 or more OR Get 300 Scene+ when you buy 3 or more, $3.49",flyer-item,807486678,https://sf.flipp.com/items/1234.sfml,1786.4848 634.03 451.0301999999999 909.45,1
"Premium Cereal, 1000 Scene+ PTS when you buy 6, $3.97",flyer-item,807486679,https://sf.flipp.com/items/1234.sfml,1782.7879 1543.48 454.72709999999984 462.1299999999999,1
"NATURE VALLEY Midsize, 300 Scene+ PTS when you buy 2, $6.99",flyer-item,807486680,https://sf.flipp.com/items/1234.sfml,1782.7879 2005.61 454.72709999999984 451.03,1
"In-Store Ground Beef Meatballs or Meatloaf, , $6.49 /lb",flyer-item,807486681,https://sf.flipp.com/items/1234.sfml,2293.9769 423.532 303.8161 145.70700000000005,1
"Seafood Appetizers, GET UP TO 600 SCENE+ PTS, STARTING AT $8.99",flyer-item,807486682,https://sf.flipp.com/items/1234.sfml,2593.142 764.549 599.8810000000003 243.361,1
"BOURSIN, , $5.99",flyer-item,807486683,https://sf.flipp.com/items/1234.sfml,2898.508 514.987 294.5150000000003 249.562,1
"WONDERFUL Pistachios, , Buy 1 Get 1 FREE",flyer-item,807486684,https://sf.flipp.com/items/1234.sfml,2608.643 516.537 289.8649999999998 240.26199999999994,1
"Antipasto Classico, , STARTING AT $11",flyer-item,807486685,https://sf.flipp.com/items/1234.sfml,2551.29 191.02 280.56500000000005 218.561,1
"Grab and Go Trays Cookie Lover's Bliss, Dessert Bars, Pumpernickel and Spinach Dip or Patisseries, , STARTING AT $6.49",flyer-item,807486686,https://sf.flipp.com/items/1234.sfml,2893.858 186.37 305.3649999999998 319.316,1
"Large Pineapples whole or cored, , $6.49",flyer-item,807486687,https://sf.flipp.com/items/1234.sfml,2296.625 692.459 280.6819999999998 325.0010000000001,1
"COMPLIMENTS or PANACHE Pork Back Ribs, Chicken Wings, Meat Appetizers, Meatballs, Egg Rolls or Spring Rolls, Buy 2, get 1 free, starting at $5.99",flyer-item,807486688,https://sf.flipp.com/items/1234.sfml,2289.2386 1032.23 908.5223999999998 228.98000000000002,1
"Cheese, , $6.99",flyer-item,807486689,https://sf.flipp.com/items/1234.sfml,2891.227 1261.21 306.5340000000001 284.3699999999999,1
"Ice Cream, , $4.99",flyer-item,807486690,https://sf.flipp.com/items/1234.sfml,2599.466 1268.6 295.4540000000002 280.68000000000006,1
"Potato Chips, , 2/ $7",flyer-item,807486691,https://sf.flipp.com/items/1234.sfml,2270.7727 1268.6 328.6932999999999 262.21000000000004,1
"Sparkling Water, , $5.99",flyer-item,807486692,https://sf.flipp.com/items/1234.sfml,2270.7727 1530.81 321.30729999999994 258.52,1
"Taco Seasonings, , 4/ $5",flyer-item,807486693,https://sf.flipp.com/items/1234.sfml,2281.8523 1789.33 310.2276999999999 273.3000000000002,1
"CRACKER BARREL Cheese Slices, , $3.99",flyer-item,807486694,https://sf.flipp.com/items/1234.sfml,2281.8523 2062.63 225.28369999999995 269.5999999999999,1
"Dips, Chewy or Yogurt Granola Bars, , $1.99",flyer-item,807486695,https://sf.flipp.com/items/1234.sfml,2507.136 2047.86 236.36400000000003 284.3700000000001,1
"SWIFT Pot Pies, , 4/ $5",flyer-item,807486696,https://sf.flipp.com/items/1234.sfml,2743.5 2047.86 225.2840000000001 280.68000000000006,1
"DAWN Dish Soap, , $3.99",flyer-item,807486697,https://sf.flipp.com/items/1234.sfml,2968.784 2062.63 240.0569999999998 265.90999999999985,1
"Breton or Vinta Crackers, , $2.33",flyer-item,807486698,https://sf.flipp.com/items/1234.sfml,2894.92 1800.41 310.22800000000007 258.53,1
"Margarine, , $6.99",flyer-item,807486699,https://sf.flipp.com/items/1234.sfml,2584.693 1800.41 310.22699999999986 258.53,1
"NABOB Ground Coffee, , $12.99",flyer-item,807486700,https://sf.flipp.com/items/1234.sfml,2592.08 1552.97 302.84000000000015 240.05999999999995,1
"Whole Grain Bread, , 2/ $7",flyer-item,807486701,https://sf.flipp.com/items/1234.sfml,2894.92 1549.28 295.4549999999999 254.82999999999993,1
"In-Store Ground Beef Meatballs or Meatloaf, , $6.49 /lb",flyer-item,807486681,https://sf.flipp.com/items/1234.sfml,2292.4269 572.34 311.5661 99.20499999999993,1
"Antipasto Classico, , STARTING AT $11",flyer-item,807486685,https://sf.flipp.com/items/1234.sfml,2619.494 415.782 272.81399999999985 89.904,1
"Goldfish Crackers, LOAD IT TO GET IT! Get 150 Scene+ PTS when you buy 3 and load offer in the Sobeys app or at MyGroceryOffers.ca, $3.33 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486702,https://sf.flipp.com/items/1234.sfml,5040.584 1248.56 1501.9660000000003 987.7400000000002,1
"LOAD IT TO GET IT! Get 150 Scene+ PTS when you buy 3 and load offer in the Sobeys app or at MyGroceryOffers.ca, , ",flyer-item,807486703,https://sf.flipp.com/items/1234.sfml,5029.4855 98.0419 2389.8244999999997 1135.7181,5
"CASTELLO Velvet Blue Cheese, , ",flyer-item,807486704,https://sf.flipp.com/items/1234.sfml,7862.904 1508.42 715.4959999999992 240.75,1
"COMPLIMENTS Salted Butter, , ",flyer-item,807486705,https://sf.flipp.com/items/1234.sfml,7643.828 1744.5 526.7159999999994 211.3900000000001,1
"Garlic Canada, , ",flyer-item,807486706,https://sf.flipp.com/items/1234.sfml,7654.674 1962.09 496.41899999999987 330.95000000000005,1
"Parsley Bunch product of USA or Mexico, , ",flyer-item,807486707,https://sf.flipp.com/items/1234.sfml,8644.34 1575.24 428.2999999999993 550.6200000000001,1
"Fresh Boneless Striploin Grilling Steak or Premium Oven Roast, , ",flyer-item,807486708,https://sf.flipp.com/items/1234.sfml,8161.362 1778.84 483.6680000000006 513.1700000000003,1
"Get recipe, , ",flyer-item,807486709,https://sf.flipp.com/items/1234.sfml,7539.5575 2299.96 1620.8825000000006 218.34000000000015,5
"Fresh Boneless Striploin Grilling Steak or Premium Oven Roast, , ",flyer-item,807486708,https://sf.flipp.com/items/1234.sfml,8746.2 2135.35 321.6299999999992 163.13999999999987,1
"Prepared Fresh Daily Fruit or Vegetable Grab and Go Tray, , 2/ $24 or $12.99 ea",flyer-item,807486710,https://sf.flipp.com/items/1234.sfml,9605.186 293.612 613.1840000000011 321.74899999999997,1
"Prepared Fresh Daily Mango, Pineapple Salsa or Guacamole Dip, 15% off, ",flyer-item,807486711,https://sf.flipp.com/items/1234.sfml,10223.04 298.275 223.8199999999997 391.6940000000001,1
"Carrot and Roasted Garlic or Carmelized Onion and Roasted Garlic Cooked Potatoes, 200 Scene+ when you buy 2 pkgs, $9.99",flyer-item,807486712,https://sf.flipp.com/items/1234.sfml,10087.809 710.953 368.3810000000012 394.02700000000004,1
"Buns, 80 Scene+ PTS when you buy 2, $4.49",flyer-item,807486713,https://sf.flipp.com/items/1234.sfml,9651.816 888.148 415.009 240.14199999999994,1
"Large Avocados, , 3/ $4.98",flyer-item,807486714,https://sf.flipp.com/items/1234.sfml,9232.1439 277.292 307.7591000000011 424.335,1
"Cilantro Bunch, , $1.99",flyer-item,807486715,https://sf.flipp.com/items/1234.sfml,9234.4754 701.627 305.4276000000009 319.413,1
"Bulk Red Onions, , $2.49 /lb",flyer-item,807486716,https://sf.flipp.com/items/1234.sfml,9234.4754 1018.71 293.77059999999983 303.0999999999999,1
"Tomatoes, , $2.99 /lb",flyer-item,807486717,https://sf.flipp.com/items/1234.sfml,9246.133 1331.13 300.7649999999994 298.4399999999998,1
"Dessert Bars Nanaimo, Macaroon Madness, 140 Scene+ PTS when you buy 2, $6.69",flyer-item,807486718,https://sf.flipp.com/items/1234.sfml,9798.701000000001 1130.62 403.35199999999895 403.3600000000001,1
